subject,question,option 1,option 2,option 3,option 4,answer
국어,"매우 급하게 도망을 치다'라는 뜻의 관용표현 ""(        )을 치다""에 들어갈 말은?",줄행랑,바닥,가슴,책상,1
국어,"어떤 문제를 풀어나갈 방법을 생각해내다'라는 뜻의 ""( )을 잡다""에 들어갈 말은?",가지,가닥,갈래,가시,2
국어,"학벌이 높다'라는 뜻의 관용표현 ""(       )이 길다""에 들어갈 말은?",신발끈,가방끈,리본끈,머리카락,2
국어,"순간적으로 몹시 놀라다'라는 뜻의 ""( ) 떨어지다""에 들어갈 말은?",눈,배,간,코,3
국어,"지나치게 대담해졌다'라는 뜻의 관용표현 ""간이 ( )""에 들어갈 말은?",굳었다,녹았다,부었다,썩었다,3
국어,"매우 지쳐 기운이 없다'라는 뜻의 ""( )가 되다""에 들어갈 말은?",식은죽,낙엽,녹초,쇳덩이,3
국어,"정신없이 바쁘다'라는 뜻의 관용표현 ""(  ) 뜰 새 없다""에 들어갈 말은?",눈,코,눈코,눈코입,3
국어,"몹시 귀엽다'라는 뜻의 ""눈에 넣어도 ( ) 않다""에 들어갈 말은?",아프지,시리지,가렵지,따갑지,1
국어,"무엇을 찾으려 온 정신을 집중하다'라는 뜻의 ""눈에 ( )을 켜다""에 들어갈 말은?",빛,등,불,열,3
국어,"죽어서 땅에 묻히다'라는 뜻의 관용표현 ""눈에 ( )이 들어가다""에 들어갈 말은?",비,물,흙,바람,3
사회,세계에서 가장 면적이 넓은 대륙은 어디인가요?,아프리카,아시아,유럽,오세아니아,2
사회,지구를 남반구와 북반구로 나누는 가상의 선은?,본초 자오선,적도,위선,경선,2
사회,에펠탑이 있는 나라는 어디인가요?,독일,이탈리아,프랑스,영국,3
사회,세계 평화와 안전을 위해 일하는 국제기구는?,WHO,UN (국제연합),FIFA,WTO,2
사회,대부분이 얼음으로 덮여 있는 대륙은 어디인가요?,아프리카,남극 대륙,아시아,남아메리카,2
과학,음식물 찌꺼기의 수분을 흡수하는 소화 기관은? 7,위,작은 창자,큰 창자,간,3
과학,전지에서 볼록 튀어나온 부분은 ( )극이다.,(+),(-),동,서,1
과학,전기 부품을 서로 연결해 전기가 흐르도록 한 것을 ( ) 회로라고 한다. 2,자석,전자,전기,순환,3
과학,전구 두 개를 한 줄로 연결하는 방법을 ( )연결이라고 한다. 3,직렬,병렬,복합,혼합,1
과학,전구 두 개를 두 줄에 나누어 연결하는 방법은 ( )연결이다. 4,직렬,병렬,수직,수평,2
과학,전구를 ( )연결했을 때가 직렬연결했을 때보다 더 밝다. 5,직렬,교차,병렬,단선,3
과학,전구의 밝기가 밝을수록 전기 ( )의 소비도 더 크다. 6,전류,저항,전압,에너지,4
과학,전기가 흐를 때만 자석의 성질이 나타나는 자석은 ( )이다. 7,영구 자석,전자석,막대 자석,고리 자석,2
과학,전자석에 연결한 전지의 ( )이 많을수록 전자석의 세기가 커진다. 8,개수,종류,크기,무게,1
과학,전자석에 연결한 전지의 ( )를 바꾸면 전자석의 극이 바뀐다. 9,위치,개수,방향,모양,3
과학,전자석은 영구 자석과 달리 자석의 ( )를 조절할 수 있다. 10,모양,세기,길이,색깔,2
과학,태양이 지표면과 이루는 각을 태양 ( )라고 한다. 11,온도,각도,거리,고도,4
과학,태양이 남쪽에 위치할 때의 고도를 ( ) 고도라고 한다. 12,북중,남중,동중,서중,2
과학,태양 고도가 높아지면 그림자의 길이는 ( )진다. 13,길어,넓어,짧아,두꺼워,3
과학,태양 고도가 높아지면 지표면의 ( )은 높아진다. 14,습도,기온,밀도,염도,2
과학,하루 중 기온이 가장 높은 시각은 남중 시각보다 약 ( )시간 뒤이다. 15,1,2,4,6,2
과학,기온이 남중 시각보다 늦게 높은 이유는 ( )면이 데워지는 데 시간이 걸리기 때문이다. 16,수,해수,지표,대기,3
과학,( )에는 태양의 남중 고도가 높아 낮이 길고 기온이 높다. 17,봄,여름,가을,겨울,2
과학,( )에는 태양의 남중 고도가 낮아 낮이 짧고 춥다. 18,봄,여름,가을,겨울,4
과학,남중 고도가 높아지면 단위 면적의 지표면에 도달하는 ( )의 양이 많아진다. 19,공기,에너지,수분,산소,2
과학,계절이 변하는 까닭은 지구의 ( )이 기울어진 채 공전하기 때문이다. 20,자전축,공전축,자기축,수직축,1
과학,물질이 타기 시작하는 온도를 ( )점이라고 한다. 21,어는,녹는,발화,끓는,3
과학,( )점이 낮은 물질일수록 불에 쉽게 탄다. 22,발화,응고,융해,기화,1
과학,물질이 산소와 반응하여 빛과 열을 내는 현상을 ( )라고 한다. 23,증발,응결,소화,연소,4
과학,"연소의 조건은 탈 물질, 산소, ( ) 이상의 온도이다. 24",발화점,녹는점,끓는점,영하,1
과학,푸른색 염화 코발트 종이는 ( )에 닿으면 붉게 변한다. 25,산소,물,탄소,질소,2
과학,연소 후 생성된 ( ) 탄소는 석회수를 뿌옇게 만든다. 26,일산화,과산화,이산화,삼산화,3
과학,연소의 조건 중 한 가지 이상을 없애 불을 끄는 것을 ( )라고 한다. 27,연소,소화,가열,냉각,2
과학,가스레인지 밸브를 잠그는 것은 ( ) 물질을 없애는 소화 방법이다. 28,산소,열,온도,탈,4
과학,알코올램프 뚜껑을 덮는 것은 ( )를 차단하여 불을 끄는 방법이다. 29,산소,수소,질소,열기,1
과학,불이 붙은 종이에 물을 뿌리는 것은 온도를 ( ) 미만으로 낮추는 것이다. 30,끓는점,발화점,어는점,녹는점,2
과학,몸의 형태를 만들고 지탱하며 기관을 보호하는 것은 ( )이다. 31,근육,신경,뼈,혈관,3
과학,뼈에 연결되어 몸을 움직이게 하는 것은 ( )이다. 32,피부,지방,신경,근육,4
과학,음식물 찌꺼기의 수분을 흡수하는 소화 기관은 ( )창자이다. 33,작은,큰,중간,막힌,2
과학,소화를 돕는 액체인 쓸개즙을 만드는 곳은 ( )이다. 34,위,간,심장,폐,2
과학,숨을 들이마실 때 산소는 코 → 기관 → ( ) → 폐 순으로 들어간다. 35,식도,위,기관지,대장,3
